deu-enh,eng,warning,Qid_detail
hackprett,cutting board,,Q617239
haefelain,container,,Q987767
haefelein,container,,Q987767
haefen,pot,,Q15711817
haefen,pot,,Q15711817
haeffen,pot,,Q15711817
haeffenn,pot,,Q15711817
hafe,pot,,Q15711817
hafem,pot,,Q15711817
hafen,pot,,Q15711817
hafen,pot,,Q15711817
hafen deck,lid,,Q2488579
hafen decken,lid,,Q2488579
hafen dekch,lid,,Q2488579
hafendekch,lid,,Q2488579
hafen schirbe,container,,Q987767
hafen von taig,pie pot,,Q107272929
hafenn,pot,,Q15711817
haffen,pot,,Q15711817
haffen,pot,,Q15711817
haffen deck,lid,,Q2488579
haffendeck,lid,,Q2488579
haffendekch,lid,,Q2488579
haffendel,container,,Q987767
haffenn,pot,warningKONTEXT,Q15711817
haffenn scherbenn,container,,Q987767
haffran,cauldron,,Q1317634
haffschirben,container,,Q987767
hakchmesser,knife,,Q32489
halem,stalk,,Q0
halm,stalk,,Q0
harsip,sieve,,Q381155
hauen,pot,,Q15711817
hauenn,pot,,Q15711817
hauen dekch,lid,,Q2488579
hefelin,pot,,Q15711817
hefen,pot,,Q15711817
heffelin,pot,,Q15711817
heffell,,,
heffellin,pot,,Q15711817
heffen,pot,,Q15711817
heffenn,pot,,Q15711817
hefleyn,pot,,Q15711817
hefn,pot,,Q15711817
heifelin,pot,,Q15711817
helle,unsolved,,Q0
herdt,kitchen stove,warningPOS,Q182995
herdt,kitchen stove,warningPOS,Q182995
hern schusell,bowl,,Q153988
herren schueschel,bowl,,Q153988
herren schuessel,bowl,,Q153988
herren schussel,bowl,,Q153988
herren schussell,bowl,,Q153988
herrenn schussel,bowl,,Q153988
hert,kitchen stove,warningPOS,Q182995
hertt,kitchen stove,warningPOS,Q182995
heuen,pot,,Q15711817
hieren schalen,skull,,Q13147
hiern schalen,skull,,Q13147
hiern schallen,skull,,Q13147
hiernn schal,skull,,Q13147
hiernnschall,skull,,Q13147
hierns dakches,calvaria,,Q613203
hiren schall,skull,,Q13147
hirren pain,skull,,Q13147
hoczel,skewer,,Q1323569
hoczlein,skewer,,Q1323569
hoech,workbench,,Q347690
hoelcz,skewer,,Q1323569
hoelczel,skewer,,Q1323569
hoelczer zwen fuermen als die repphuener wann man sy zue samen trucket das sy ain form haben als die repphuener,partridge mold,,Q107272868
hoelczeren das hat ain fuerm als ain repphuen,partridge mold,,Q107272868
hoelczern daz hat ein formm als ein rephun,partridge mold,,Q107272868
hoellczer,skewer,,Q1323569
hoelczlein,skewer,,Q1323569
hoellczlein,skewer,,Q1323569
hoeltzern spis,skewer,,Q1323569
hoeltzlein,skewer,,Q1323569
hoeltzlin,skewer,,Q1323569
hoern gelochert zu payden seiten,sausage stuffing tube,,Q107272840
hoffschuessl,bowl,,Q153988
hoff schuessel,bowl,,Q153988
hoff schuessl,bowl,,Q153988
hoff schusselln,bowl,,Q153988
hoffellein,pot,,Q15711817
hoffschussell,bowl,,Q153988
holcz,skewer,warningKONTEXT,Q1323569
holcz dar czw paiden seitten spuczig seynn,partridge mold,,Q107272868
holcz ein chnospel als ein faust,cooking tool,,Q1521410
holcz in dem fuermm wann sy sammen gedruck werden so sechens als ein repphuen,partridge mold,,Q107272868
holczein loffel,wooden spoon,,Q1762390
holczel alz ein spindel daz niden ain chnoph hab,cooking tool,,Q1521410
holczell,skewer,,Q1323569
holczel wan sy czw samen taucht das sy ein formm machen als rebhuen,partridge mold,,Q107272868
holczelein,skewer,,Q1323569
holczen czw ayer repphuener geleich wen man dy zu  samen druckt daz wirt ein  formm czwayer rebhuener,partridge mold,,Q107272868
holczen daz ist ein formm als ein repphueen,partridge mold,,Q107272868
holczer,skewer,warningKONTEXT,Q1323569
holczeren das hatt ein varmm als ein rephon,partridge mold,,Q107272868
holczernn das hat ein formm als ein repphuenn,partridge mold,,Q107272868
holczlein,skewer,,Q1323569
holczlin,skewer,,Q1323569
hollczer,skewer,,Q1323569
hollczlein,skewer,,Q1323569
holtz,skewer,,Q1323569
holtzeren schere,wooden scissors,,Q107272843
holtzlein,skewer,,Q1323569
holtzlin,skewer,,Q1323569
holz,skewer,warningKONTEXT,Q1323569
holzer,skewer,,Q1323569
horen,inkwell,,Q1160546
horrn,inkwell,,Q1160546
hualczenn leffel,wooden spoon,,Q1762390
huelczen loeffel,wooden spoon,,Q1762390
huelczen spis,skewer,,Q1323569
huellczein prentlein,bucket,,Q47107
huellczein spiss,skewer,,Q1323569
hueltzen spisz,skewer,,Q1323569
hueltzin spisslin,skewer,,Q1323569
hueltzinen rost,wooden grate,,Q107272842
hueltzinene spis,skewer,,Q1323569
hueltzlin,skewer,,Q1323569
huelzinen roest,wooden grate,,Q107272842
huelzinen roeste,wooden grate,,Q107272842
huelzinen rost,wooden grate,,Q107272842
huelzinen roste,wooden grate,,Q107272842
huerd,sideboard,,Q1762308
hulcz ein spislein,skewer,,Q1323569
hulczen spiss,skewer,,Q1323569
hulczein lofflein,wooden spoon,,Q1762390
hulczein rost,wooden grate,,Q107272842
hulczein spis,skewer,,Q1323569
hulczen rost,wooden grate,,Q107272842
hulczen spisgin,skewer,,Q1323569
hulczen spiß,skewer,,Q1323569
hulczen spisz,skewer,,Q1323569
hulczen spys,skewer,,Q1323569
hultz,skewer,,Q1323569
hultze,skewer,,Q1323569
hultzen spisz,skewer,,Q1323569
hultzen spiszlin,skewer,,Q1323569
hultzenn rost,wooden grate,,Q107272842
hultzenn spyß,skewer,,Q1323569
hultzinen rost,wooden grate,,Q107272842
hultzlin,skewer,,Q1323569
hulzen rost,wooden grate,,Q107272842
huelczein rosst,wooden grate,,Q107272842
hurde,sideboard,,Q1762308
hyernn schall,eggshell,,Q2731253
hyrnschalen,skull,,Q13147
kachell,tile,,Q468402
kaelguesse,lye,,Q2122650
kaendel,jug,,Q2413314
kaes chaer,cheese mold,,Q107272832
kaes korb,cheese basket,,Q107272831
kaes napff,cheese mold,,Q107272832
kaessnapff,cheese mold,,Q107272832
kaesz kar,cheese mold,,Q107272832
kaesz nappff,cheese mold,,Q107272832
kalltgeuß,lye,,Q2122650
kalltguesz,lye,,Q2122650
kalltgus,lye,,Q2122650
kallttguessen,lye,,Q2122650
kaltgazz,lye,,Q2122650
kaltguassen,lye,,Q2122650
kaltguess,lye,,Q2122650
kaltguesz,lye,,Q2122650
kaltguezz,lye,,Q2122650
kalltgues,lye,,Q2122650
kan,jug,,Q2413314
kandel,jug,,Q2413314
kandell,jug,,Q2413314
kapf stain,unsolved,,Q0
kar,container,,Q987767
kchalt gus,lye,,Q2122650
keas chaer,cheese mold,,Q107272832
keschoer,cheese mold,,Q107272832
keas naph,cheese mold,,Q107272832
keas napph,cheese mold,,Q107272832
kelle,ladle,,Q193358
kellen,ladle,,Q193358
kellenn,ladle,,Q193358
kerczen schafft,candle stick,,Q12888135
kesel,cauldron,,Q1317634
kesell,cauldron,,Q1317634
kesellin,cauldron,,Q1317634
keselin,cauldron,,Q1317634
keselinn,cauldron,,Q1317634
kese napf,cheese mold,,Q107272832
keseporn,cheese basket,,Q107272831
keskorb,cheese basket,,Q107272831
kessel,cauldron,,Q1317634
kessele,cauldron,,Q1317634
kesselin,cauldron,,Q1317634
kessell,cauldron,,Q1317634
kesseln,cauldron,,Q1317634
kesslein,cauldron,,Q1317634
kezzel,cauldron,,Q1317634
kisling,gravel,,Q133833
kislingin,pebble,,Q14673
kissling,pebble,,Q14673
kleibe,loam,,Q1131303
kleo keln,wooden spoon,,Q1762390
klupp,unsolved,,Q0
kluppen,unsolved,,Q0
knospeln,bag,,Q1323314
koch leffelfolle,wooden spoon,,Q1762390
koch loeffel,wooden spoon,,Q1762390
koch loffel,wooden spoon,,Q1762390
kochloffel,wooden spoon,,Q1762390
kochloffell,wooden spoon,,Q1762390
kochloffoll,wooden spoon,,Q1762390
koell,ember,,Q177257
koer,container,,Q987767
koilfueer,ember,,Q177257
kol,ember,,Q177257
kolbenn glasß,laboratory flask,,Q335201
kolleffel,wooden spoon,,Q1762390
kolen,ember,,Q177257
kolenn,ember,,Q177257
koler,ember,,Q177257
kolfewer,ember,,Q177257
kolfewr,ember,,Q177257
koll,ember,,Q177257
kollen,ember,,Q177257
kollenn,ember,,Q177257
koller,ember,,Q177257
kollerr,ember,,Q177257
kolln,ember,,Q177257
koln,ember,,Q177257
kolnn,ember,,Q177257
kolren,ember,,Q177257
koph,cooking pot,warningKONTEXT,Q2366864
korbe,basket,,Q201097
kossell,cauldron,,Q1317634
kraucz das dunne sey wan man das auff den podem secz das es geleich auff stee das der podem woll gehobelt sey vnd ganncz,unsolved,,Q0
krebs schalen,crayfish shell,,Q107262384
krebs schallen,crayfish shell,,Q107262384
krebsschalen,crayfish shell,,Q107262384
kreps schallan,crayfish shell,,Q107262384
krueglein,jug,,Q2413314
krug,jug,,Q2413314
kruog,jug,,Q2413314
kuele,ember,,Q177257
kutraf glas,pinch bottle,,Q543866
kyssling,pebble,,Q14673
laden,workbench,warningKONTEXT,Q347690
laden,box,warningKONTEXT,Q188075
laimenn,loam,,Q1131303
lamppen,lamp,,Q1138737
lauetsch,container,,Q987767
lauetschen,container,,Q987767
lauetschs,container,,Q987767
laug,lye,,Q2122650
lawgen,lye,,Q2122650
leder,leather,,Q286
ledla,box,warningKONTEXT,Q188075
lefel,spoon,,Q81895
leffel,spoon,,Q81895
leffell,spoon,,Q81895
leffeln,spoon,,Q81895
leffen,spoon,,Q81895
leffl,spoon,,Q81895
leinbukch,alembic,,Q845242
leufel,spoon,,Q81895
leymen,loam,,Q1131303
lid,lid,warningKONTEXT,Q2488579
lidlein,pestle,,Q907209
liecht,light source,,Q1146001
liechtstain,light source,,Q1146001
liechtt,light source,,Q1146001
